SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
MG,2018,6,DEPUTADO FEDERAL,3181,ADRIANO VIEIRA CHAVES,APTO,28,COMPROMISSO POR MINAS,130000050726,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,1172,38,2,2,2,2,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,3612,DERLY FERREIRA,APTO,36,RENOVAÇÃO,130000050269,36,PARTIDO TRABALHISTA CRISTÃO,1171,24,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,4439,ALFREDO DA SILVA AMBROZIONI,APTO,46,PARTIDO ISOLADO,190000050661,44,PARTIDO REPUBLICANO PROGRESSISTA,1170,23,1,1,1,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,9083,RONIVON DOS SANTOS MUNIZ,APTO,37,PARTIDO ISOLADO,250000050020,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,1170,39,0,0,0,0,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,5065,JOSÉ EMILIO HERMES DE ALMEIDA,APTO,56,JUNTOS PARA MUDAR,140000050125,50,PARTIDO SOCIALISMO E LIBERDADE,1169,17,1,1,1,1,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2811,EDICARLOS SOUSA PIRES JUNIOR,APTO,21,MINAS À FRENTE,130000050468,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1169,19,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2044,EDINA TEIXEIRA BARBOSA,APTO,54,UNIDOS POR MINAS,130000050297,20,PARTIDO SOCIAL CRISTÃO,1168,33,2,2,2,2,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,4020,JEDIEL HOSANA DE CARVALHO,APTO,54,"Coligação PSB, PTB, PPS, PSC",250000050402,40,PARTIDO SOCIALISTA BRASILEIRO,1168,71,6,6,7,7,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2044,GUSTAVO MARQUES CARVALHO MITRE,INAPTO,52,UNIDOS POR MINAS,130000050297,20,PARTIDO SOCIAL CRISTÃO,1168,34,2,2,2,2,0,0,0,0
PR,2018,6,DEPUTADO FEDERAL,1323,MARCELO EDUARDO RIBEIRO GOMES,APTO,49,PARTIDO ISOLADO,160000050614,13,PARTIDO DOS TRABALHADORES,1168,24,3,3,3,3,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,1557,MARCOS VINICIUS BRASIL DOS SANTOS,APTO,30,PARTIDO ISOLADO,250000050112,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1168,39,2,2,2,2,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,5561,ROSIEL CANDIDO DE LIMA,APTO,45,PARTIDO ISOLADO,190000050208,55,PARTIDO SOCIAL DEMOCRÁTICO,1167,39,4,3,4,3,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,5400,EDMAR WASHINGTON XAVIER PEREIRA,APTO,46,PARTIDO ISOLADO,130000050760,54,PARTIDO PÁTRIA LIVRE,1166,4,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2877,ANA PAULA BORONI REIS,APTO,37,MINAS À FRENTE,130000050468,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1166,20,0,0,0,0,0,0,0,0
PA,2018,6,DEPUTADO FEDERAL,5088,ADRIANE CARDOSO SERRÃO,APTO,34,JUNTOS PARA MUDAR,140000050125,50,PARTIDO SOCIALISMO E LIBERDADE,1166,18,1,1,1,1,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,4444,VALTER LUIZ OLIVEIRA DA ROSA,APTO,45,RIO GRANDE VENCEDOR,210000050441,44,PARTIDO REPUBLICANO PROGRESSISTA,1165,25,1,1,1,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5044,DENIS DANTAS DO CARMO,APTO,35,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,1165,55,3,3,3,3,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,2074,ALEX DE SOUSA OLIVEIRA,APTO,43,POR UM RIO FELIZ,190000050205,20,PARTIDO SOCIAL CRISTÃO,1164,24,2,2,2,2,0,0,0,0
AL,2018,6,DEPUTADO FEDERAL,4011,EDUARDO JORGE VASCONCELOS DE LIMA,APTO,42,Alagoas com o Povo II,20000050447,40,PARTIDO SOCIALISTA BRASILEIRO,1158,16,4,4,4,4,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5057,DURVALINA SOARES SILVA,APTO,61,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,1156,56,3,3,3,3,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,1204,CARLOS LEOPOLDO GONCALVES DE OLIVEIRA,INAPTO,53,RENOVAR PARA MUDAR,190000050414,12,PARTIDO DEMOCRÁTICO TRABALHISTA,1156,35,3,3,3,3,0,0,0,0
CE,2018,6,DEPUTADO FEDERAL,3035,JEANNE FREITAS DE CASTELO BRANCO THENÓRIO,APTO,39,PARTIDO ISOLADO,60000050126,30,PARTIDO NOVO,1154,5,0,0,0,0,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,2180,RENATA REGINA DE ABREU RODRIGUES,APTO,32,FRENTE MINAS SOCIALISTA,130000050181,21,PARTIDO COMUNISTA BRASILEIRO,1154,16,1,1,1,1,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,1414,EDUARDO SEABRA DA COSTA,APTO,67,AMAPÁ DA GENTE,30000050683,14,PARTIDO TRABALHISTA BRASILEIRO,1152,12,1,1,1,1,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,4501,MARCELLA IRANI REZENDE DA SILVA,APTO,49,PSDB-PSD-DEM-PP,250000050157,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1152,80,15,15,17,17,0,0,0,0
